"puid","cost","feat1","feat2","feat3","feat4","feat5","feat6"
3,71342.6875,1800,1720,738,720,208,2400
4,618140.5,13387.5,16980,1728,5295,13384,17850
5,365698.0625,11707.5,13332,0,2332,7044,13090
6,22362.583984375,562.5,864,0,179,0,570
14,126465.59375,637.5,380,156,81,0,850
15,622695.25,13875,16502,1836,1222,7180,17880
16,465912.84375,17385,15234,0,0,2352,15550
17,100888.6640625,5850,4022,0,148,20,4100
24,9056.529296875,97.5,132,0,100,0,130
25,346579.75,7125,6762,0,0,0,7960
26,584061.8125,15952.5,13666,0,0,280,12270
27,458860.25,18592.5,13368,0,0,960,12150
28,314946.28125,14940,5148,2160,102,884,8070
29,143975.9375,4965,1614,912,542,260,3010
35,126198.25,1957.5,2308,0,973,0,2610
36,473203.4375,12690,13816,0,2121,0,16050
37,496886.78125,15360,9770,0,0,40,9860
38,442231.28125,17025,13718,1806,0,96,7590
39,392156.21875,18495,16296,11502,4047,1208,5790
40,413897.375,16897.5,11948,7530,3785,1712,4120
41,258224.71875,5467.5,6438,3756,6848,4836,3060
42,908.154541015625,0,50,18,15,0,50
46,54487.9765625,7.5,10,0,3,0,10
47,446640.09375,13665,11874,0,2705,0,17350
48,431779.59375,13432.5,4794,0,0,0,6490
49,416784.125,8542.5,6820,1014,0,96,5100
50,437177.6875,16522.5,19958,12540,6399,2280,4080
51,473038.1875,18195,22076,14130,7335,8884,3880
52,482461.96875,16432.5,17648,12684,7628,14876,2850
53,422906.96875,11490,2736,7146,4497,10348,3840
54,300114.125,8670,714,6582,3371,8408,2930
55,78249.734375,1950,110,1440,393,2104,830
57,14056.4765625,7.5,10,0,3,0,10
58,425676.78125,4567.5,4514,0,1655,0,5670
59,398131.09375,12517.5,12660,0,42,0,6210
60,388456.03125,17265,22744,36,0,32,1860
61,418815.15625,17355,19500,7272,3492,3128,4500
62,478160.28125,17565,16328,12012,6812,10716,6010
63,538900,14302.5,5562,10332,6176,13972,6120
64,604484.3125,12907.5,0,9672,6286,13808,5060
65,642090.25,15187.5,0,10026,5473,15112,5090
66,345866.75,8400,0,6366,2026,9320,4070
68,66940.5859375,202.5,272,0,91,0,260
69,342907.59375,3817.5,4292,0,1666,0,4370
70,364574.3125,9727.5,10232,0,595,0,5200
71,386371.0625,13702.5,17720,0,0,0,1960
72,417039.4375,18712.5,24950,5730,0,64,450
73,479280.46875,18330,16900,13926,139,10408,3270
74,569757.3125,16882.5,1146,12852,6215,17236,7950
75,624722.0625,15262.5,0,11766,6423,16296,7310
76,580321.625,14490,0,8748,4869,13932,3750
77,62856.640625,1312.5,0,480,291,1524,600
78,35267.2421875,300,408,0,113,0,400
79,183463.203125,8377.5,11114,762,3301,0,11170
80,275720.3125,6915,9344,942,3386,0,7460
81,336879.59375,11835,15788,0,4321,0,4870
82,370392.15625,16545,22060,0,2325,0,3920
83,404098.65625,18457.5,24490,3648,3510,56,1600
84,467100.1875,17692.5,20090,14154,4233,3152,120
85,559941.625,17625,860,13956,7286,17132,3290
86,580280.8125,17137.5,0,12570,6805,17380,7800
87,179638,4717.5,0,3624,1942,4956,2990
89,169558.78125,1785,3728,0,1202,0,3650
90,316576.28125,12877.5,15130,0,4186,0,17520
91,305468.78125,14107.5,16358,0,5467,0,11400
92,323372.53125,16702.5,22280,0,6731,0,6600
93,331934.28125,15045,23604,60,7120,0,1880
94,371234.5625,7342.5,23954,6348,7440,0,1980
95,446539.75,13530,19386,13728,7114,1560,1330
96,552104.3125,15570,0,12456,6378,13472,2080
97,274916.9375,7935,0,6348,3284,8484,2010
100,43686.05078125,322.5,1622,0,96,0,2340
101,335819.5,11662.5,14380,0,5034,0,15550
102,314556.625,13582.5,15132,0,4947,0,10140
103,302910.5625,18067.5,23342,0,7059,0,1270
104,316471.84375,10417.5,22834,4524,6917,0,900
105,357388.9375,0,15048,7404,5169,0,1110
106,412664.625,5002.5,12486,8580,5580,692,1800
107,539399.625,11115,0,8892,4676,6596,1970
108,110271.0390625,2737.5,0,2190,1105,2892,670
111,102732.4921875,172.5,260,0,69,0,290
112,249508.734375,3262.5,4206,0,1593,0,3940
113,245086.4375,12802.5,15946,0,5319,0,7080
114,298041.1875,16800,20528,972,6384,0,1130
115,304199.71875,5797.5,18540,10068,5797,0,0
116,366632.125,277.5,12086,7932,5256,0,870
117,361018.28125,3510,1946,2916,1578,1848,2520
118,252913.734375,3577.5,0,2862,1541,2660,1820
119,1316.20471191406,30,0,24,12,16,10
122,220723.125,105,74,48,82,0,140
123,4772.31689453125,0,0,0,0,0,0
124,12047.3251953125,337.5,184,0,215,0,70
125,47097.47265625,2122.5,2440,132,1155,0,100
126,27054.9453125,232.5,1540,924,462,0,0
127,6641.314453125,0,0,0,0,0,0
