Type,SpeciesName,Code
ForestBird,Cacicus chrysopterus,bf_1
ForestBird,Eudromia formosa,bf_2
ForestBird,Melanerpes candidus,bf_3
ForestBird,Spiziapteryx circumcincta,bf_4
ForestBird,Sublegatus modestus,bf_5
Mammal,Catagonus wagneri,mm_1
Mammal,Chaetophractus vellerosus,mm_2
Mammal,Galictis cuja,mm_3
Mammal,Leopardus pardalis,mm_4
Mammal,Procyon cancrivorus,mm_5
OtherBird,Campylorhamphus trochilirostris,bo_1
OtherBird,Crypturellus tataupa,bo_2
OtherBird,Dryocopus schulzi,bo_3
OtherBird,Guira guira,bo_4
OtherBird,Poospiza torquata,bo_5
